,User,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Mu,Prior.Day.Total.Brush.Time.norm.Mu,Proportion.Brushed.In.Past.7.Days.Mu,Day.Type.Mu,Intercept.Mu,Sigma_u
0,P2_012,-0.28464697851205417,-0.5922756941348414,0.14935462761639284,0.29495786260296053,-1.471843773547962,0.4687927732147689,1.408751688113977,1.458765993816831,0.6711529096502352,9.35357040685703,1.2549477747284916
1,P2_013,2.546651035013757,-0.854837223303133,-0.536749014781967,-0.09251807927121654,-1.0679998803072062,-0.7512230038897688,-0.598304062723698,1.2524365683175716,0.08860756968479859,9.723601548491342,1.1452464350694427
2,P2_014,-0.6855325397115443,-0.4931996795101844,-0.014824660632806788,0.32388640367815225,-1.51630970183448,1.8234252368555401,1.0831814931741155,0.6601887538604729,0.42739717058421484,8.675202439802405,1.4135239133202089
3,P2_017,0.5237993535296488,-0.6497702834832578,-0.6528083415331551,-0.30776379928037556,-1.3434159141489341,0.20584932659481234,0.28724403031711887,-0.30564424408019975,-0.1678750480766535,11.491057185806657,0.6742061555156704
4,P2_019,-0.25638140013892724,-0.1356428908839951,0.8653415198153394,-0.6524727467274433,-0.2289739723186017,0.9913030125359513,-0.3415124953900106,1.5309243825680143,0.5441616620011249,7.256869615260215,2.5571507452662923
5,P2_020,0.05258145729056061,0.035362159522457,-0.20626711817662394,-1.1747867601761879,-0.6143778156357186,1.0596164772368963,0.007696754440572095,1.1034064651832904,0.818734850332706,11.18474473648097,1.3769257017425829
6,P2_021,0.641410395286199,-0.6676767170671936,-0.0456489999730645,-0.06000162201757616,-0.47125878905479984,1.424673820257473,-1.759340526291273,2.8678400131187307,0.5324305391993817,6.730556911042045,1.9451922395917847
7,P2_022,0.7158821686693588,-0.4120384609747413,0.4469536290097237,0.10647697440257035,-1.3587143044925278,0.6098886419502636,0.5797351320235133,1.7320863497010237,-0.010309758128927104,9.392243564450647,1.6572653189371902
8,P2_024,0.5066422041777673,0.1373894729021702,-0.1070663242888712,0.008165773494951333,-1.3158033341118482,0.9991921007555369,0.2550005658137987,0.47878748691972606,0.6239107615246839,10.023246926361065,1.432976055380644
9,P2_025,0.06669652116482322,0.532910400986151,0.029776902632608473,-0.7653297538090756,-1.6065509913284328,-0.04985358491509243,0.14203088532358543,0.5197401400042964,0.6848557854478331,10.023243859333533,0.8763278620204227
10,P2_027,-0.42590261410514485,-0.8747161599392593,-0.5074719680043696,0.10907649966149878,-1.5335945839548712,0.5724510726033897,1.040964755819048,0.30384896238072623,-0.49648400668452836,10.353461683865266,1.216270783950065
11,P2_028,0.09662019900410623,-0.15834755816450738,0.7405470124952921,0.39157454829424754,-1.246767121193466,-0.8677269054012422,-0.14732170247894308,-0.48150548671518184,-0.04153132743534751,10.410194240706465,0.5748111383317717
12,P2_029,0.7220572879301733,-0.1160251821786569,0.5333992084467489,0.46688878468296713,0.3243060344891202,1.5144593614336497,-2.007443376521839,0.677159197852428,0.9363462694822244,4.739666484208462,3.807774320977561
13,P2_030,-1.4789014466720916,-0.45698347016764157,0.1979388186500556,0.33352820515547105,0.6778932947513616,2.5986289869218515,0.01616587141482029,-0.47321296750849734,-0.27563983151566124,10.634852245801017,0.7537931023871772
14,P2_031,-0.007328293431182062,-1.265905233394099,-0.784346335918732,0.12830568311821125,-0.04526906399066849,1.30462118005598,-1.1428080650561532,0.8450332115306641,0.181755096746383,4.629199193891929,3.213688247210485
15,P2_033,0.2172241210226976,-0.4626909687064019,-0.3911368787704905,0.3979410829346465,-0.14809804596608445,0.9506420342975548,-0.5545263854369218,2.8595952502673856,0.15560051654428997,7.191930972877952,-0.009824446142734922
16,P2_034,-1.4101205318658396,-0.0036473996383425546,0.41323917724924925,-0.0562063797927853,0.9247961586913114,3.1995145921455337,-0.01273456174515585,1.48320230405389,1.2495829404098195,7.363945326318829,2.482011757587417
17,P2_035,0.4770031250055588,-1.124305191896429,-0.6274900389418815,-0.13043986397750543,-1.3842426754196677,0.4651203566565124,0.15888354629257298,1.3120370419365397,0.6648715929908494,9.078006948792503,1.3034663859209754
18,P2_040,0.09316084645952619,-0.604082948649497,0.3253652788939655,-0.14178545899020786,-1.372030032137533,0.412986733653084,0.03887027951368515,0.4997651450164055,0.4243168643373414,9.675734798841159,0.9437849658873951
19,P2_041,-0.9070070114097274,-0.19985523172683017,-0.3062320847911193,0.4779996426625406,-1.0879682537243094,0.7956648790220813,0.2953048160687301,-0.5268002116058303,-0.24030198393368135,11.708346604348579,0.715206337105039
20,P2_042,0.44885350998920764,-0.12992539070202946,-0.6577630315903105,0.14729100131225156,-1.934968925506581,-0.9679251732593701,-0.7104571167206011,-1.8826193318592979,-0.7420270522140018,13.741711975476091,-0.06297823065003516
21,P2_043,-2.7078076311620753,-0.20552666652828408,0.6544912450659794,-0.2866104222517768,1.638633234950279,5.908620424239912,0.5430416066352659,1.2828111801706057,1.4277269883430759,5.908615565984101,2.967201016218834
22,P2_044,-1.5246825142962266,-0.16825447263695936,0.23681885251296958,-0.47930187697249416,1.240230118858797,5.274281191001393,0.1794925784381341,2.233284184276797,2.578698829558376,7.439666858124129,2.3053358277968923
23,P2_045,0.07993081985294019,-0.12430742525566174,0.32083395523292135,-0.33422662211000964,-1.5339801002936146,1.3046010728663104,1.5694413638433298,2.7598067241821713,2.8261178446407693,6.574900737363067,4.147148752993141
24,P2_046,0.5665955477299219,0.25785211893302973,-0.4508403231425639,-0.32445079391008264,-1.5074834322233066,0.016059113748494742,-0.12133030580736001,0.5317440367889469,0.25128510795392534,10.333145133343805,1.1672444329942773
25,P2_047,-0.1841749433231353,0.5352748395434056,0.09961386680060924,0.0276098027790231,-1.2884192131032894,0.6079646138272183,-0.41459183693450774,1.8079886007017336,0.7503544694900632,9.111116296541196,1.579995007958264
26,P2_048,-0.9687768279614793,-0.5887946473455838,0.3971655459527561,0.43805687661950987,0.7091016200148377,2.93827877346971,-1.9785437902596594,1.4842599098233156,0.5185717663085855,5.605014007758564,1.8223435200840175
27,P2_050,-0.10908923246136694,-0.506099552733963,1.293957477884349,0.2568528078643025,0.08448085279427818,2.847487295388282,0.5792420050167807,0.9043518966222472,1.3538191338166028,6.574756265671222,3.8287952364119606
28,P2_051,0.6197902660824384,-0.24997048269309888,0.7583494701224042,0.1362933850297632,-0.619648728555594,0.585987362301318,-1.8338691138816023,1.7632110938648562,0.4804964764812991,6.389202914981266,1.7430255092751967
29,P2_052,-3.1209618984281113,-0.16672821150931313,0.2524238772785307,-0.06975874590170152,1.5021159733168274,1.8195984579307796,-0.8890037723996341,0.032950763726357746,-3.3511085052251737,1.7255790018803134,-5.720600572583179
30,P2_053,0.17248483040560394,-1.293692492342293,0.2983067884395436,0.3566010920549301,0.06378818361417264,1.3437837956995367,-1.043840063339272,0.4444687931244121,0.47934313424209596,4.310777005065523,4.275315430766747
31,P2_056,-0.13587785514790804,-0.5164241387866534,0.31376194650602307,0.38368695067602837,-1.055642497894749,1.1509708515980228,-0.1550551908955358,1.9332846446787701,-0.3689336870676144,6.982027179547956,-0.9694986008020401
