,User,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Mu,Prior.Day.Total.Brush.Time.norm.Mu,Proportion.Brushed.In.Past.7.Days.Mu,Day.Type.Mu,Intercept.Mu,Sigma_u
0,P2_012,-0.28464697851205417,-0.5922756941348414,0.14935462761639284,0.29495786260296053,-1.471843773547962,0.02710286289917138,0.17156744792786907,0.17679669839545104,0.08690317803636353,4.686903623396993,-0.2564043515607554
1,P2_013,2.546651035013757,-0.854837223303133,-0.536749014781967,-0.09251807927121654,-1.0679998803072062,-0.4653466223106536,0.017665633383674918,-0.20509973094856623,-0.03518801314807051,4.885045004136653,0.13760704034643909
2,P2_014,-0.6855325397115443,-0.4931996795101844,-0.014824660632806788,0.32388640367815225,-1.51630970183448,0.2801560111468224,0.09262227936575321,-0.13073962355863564,0.020869970715136306,4.646554307048227,0.2559215735356227
3,P2_017,0.5237993535296488,-0.6497702834832578,-0.6528083415331551,-0.30776379928037556,-1.3434159141489341,0.005104946000407026,-0.014154005846142926,-0.13187697902102535,-0.08425640380188787,5.016441443571012,0.09736297717746095
4,P2_019,-0.25638140013892724,-0.1356428908839951,0.8653415198153394,-0.6524727467274433,-0.2289739723186017,-0.2656098155513476,0.06425994553625675,-0.11039351511079941,-0.17774767884707698,4.87159112785744,0.2927739658567911
5,P2_020,0.05258145729056061,0.035362159522457,-0.20626711817662394,-1.1747867601761879,-0.6143778156357186,0.038485814789078025,-0.0326238188632288,-0.15663960330074864,0.023782073626566626,5.224664035279216,-0.1418549125870295
6,P2_021,0.641410395286199,-0.6676767170671936,-0.0456489999730645,-0.06000162201757616,-0.47125878905479984,0.1753279305558165,-0.3631750876097591,0.8582027385183476,1.1379081435859623e-05,4.0367633074515155,0.3909716613054577
7,P2_022,0.7158821686693588,-0.4120384609747413,0.4469536290097237,0.10647697440257035,-1.3587143044925278,-0.11360547252266685,0.09810256785895191,0.11668712729795548,-0.2463604404812555,4.837762004693653,-0.31656165394039676
8,P2_024,0.5066422041777673,0.1373894729021702,-0.1070663242888712,0.008165773494951333,-1.3158033341118482,0.06601274772451392,-0.034760741006130885,-0.25755227591605345,-0.014128798637273888,4.989983846905594,-0.1863039275254219
9,P2_025,0.06669652116482322,0.532910400986151,0.029776902632608473,-0.7653297538090756,-1.6065509913284328,-0.06687780900937036,-0.006468045583447343,-0.01322302886868143,0.1128960120784553,4.744039279182005,0.16120882023821576
10,P2_027,-0.42590261410514485,-0.8747161599392593,-0.5074719680043696,0.10907649966149878,-1.5335945839548712,0.013746618276176953,0.028217301850638553,-0.18162029075241923,-0.11658038373741489,5.071302565401182,0.1576291450711851
11,P2_028,0.09662019900410623,-0.15834755816450738,0.7405470124952921,0.39157454829424754,-1.246767121193466,-0.22494700140406745,-0.0576705316927812,-0.20254383351593647,-0.04526278982573709,4.771887929561998,0.10967505021826308
12,P2_029,0.7220572879301733,-0.1160251821786569,0.5333992084467489,0.46688878468296713,0.3243060344891202,0.43798038942143125,-0.13411108529943666,0.2452070588586237,0.16497699520560768,4.435438633729109,0.534189224840627
13,P2_030,-1.4789014466720916,-0.45698347016764157,0.1979388186500556,0.33352820515547105,0.6778932947513616,0.3768044571673715,-0.024054856106302737,-0.43076918433004047,-0.03232879555002894,4.910959241589408,0.08711828330169248
14,P2_031,-0.007328293431182062,-1.265905233394099,-0.784346335918732,0.12830568311821125,-0.04526906399066849,-0.0969651824770877,0.19137131374139968,-0.687110398022787,-0.13376261264919695,4.738772911135798,0.36822294607858685
15,P2_033,0.2172241210226976,-0.4626909687064019,-0.3911368787704905,0.3979410829346465,-0.14809804596608445,-0.02152118414481965,-0.04527004684164947,0.27407000612675947,0.028498182871417487,4.615188229575153,0.11130259472445911
16,P2_034,-1.4101205318658396,-0.0036473996383425546,0.41323917724924925,-0.0562063797927853,0.9247961586913114,0.04994899543956988,0.18089232356036283,-0.2890313693320115,0.10728105862823266,5.133821378218135,0.11792501983705855
17,P2_035,0.4770031250055588,-1.124305191896429,-0.6274900389418815,-0.13043986397750543,-1.3842426754196677,0.0072776374826950905,0.008254276712185028,0.15375992344013173,0.10358698055278592,4.574867866973573,0.3126094792614655
18,P2_040,0.09316084645952619,-0.604082948649497,0.3253652788939655,-0.14178545899020786,-1.372030032137533,0.00862191328323692,-0.011659671130807316,-0.04003556715711736,0.04864348874259813,4.691338357938206,0.22032794127107963
19,P2_041,-0.9070070114097274,-0.19985523172683017,-0.3062320847911193,0.4779996426625406,-1.0879682537243094,0.09957549732166915,-0.00813273665327543,-0.19750732458810136,-0.08413698829533124,5.074624455976001,0.09704368896140991
20,P2_042,0.44885350998920764,-0.12992539070202946,-0.6577630315903105,0.14729100131225156,-1.934968925506581,0.0028428130278410433,-0.0038574301318266774,-0.010957648716273891,0.003554102648803843,4.811031331193857,0.012764736533508627
21,P2_043,-2.7078076311620753,-0.20552666652828408,0.6544912450659794,-0.2866104222517768,1.638633234950279,2.6579948856010267,-0.024360896179069395,-0.15226280448847512,0.19148253714479666,2.657982798983176,0.5451267765791358
22,P2_044,-1.5246825142962266,-0.16825447263695936,0.23681885251296958,-0.47930187697249416,1.240230118858797,0.8013593925364624,-0.00308030826748094,0.7496883583583036,0.3924860036475736,4.34134720386299,0.36186428944447263
23,P2_045,0.07993081985294019,-0.12430742525566174,0.32083395523292135,-0.33422662211000964,-1.5339801002936146,-0.31229735137430686,0.019053887078504216,0.17199167913539418,0.5881466975657724,5.124638440950976,0.5623738536323913
24,P2_046,0.5665955477299219,0.25785211893302973,-0.4508403231425639,-0.32445079391008264,-1.5074834322233066,-0.10579202410728941,-0.08258248140158025,-0.10964487741465312,-0.012504983800786079,4.913832253871322,0.24150516065981484
25,P2_047,-0.1841749433231353,0.5352748395434056,0.09961386680060924,0.0276098027790231,-1.2884192131032894,0.013921465267812424,-0.17973712007726245,0.1340196169570519,0.10654462042974555,4.693507173299364,-0.32952266658217744
26,P2_048,-0.9687768279614793,-0.5887946473455838,0.3971655459527561,0.43805687661950987,0.7091016200148377,0.636025201621338,-0.2035789432002573,0.9678376800117949,0.10281419737145076,3.8271084157166695,0.3655446846407875
27,P2_050,-0.10908923246136694,-0.506099552733963,1.293957477884349,0.2568528078643025,0.08448085279427818,0.1843764727030619,0.030492313328578116,0.27018335704895263,0.06738548144075686,4.980685626011838,0.2501210990534135
28,P2_051,0.6197902660824384,-0.24997048269309888,0.7583494701224042,0.1362933850297632,-0.619648728555594,0.012169126606568001,-0.280133115841233,0.444590878961336,-0.034188270979668894,4.0624521205959,0.39602061081519224
29,P2_052,-3.1209618984281113,-0.16672821150931313,0.2524238772785307,-0.06975874590170152,1.5021159733168274,2.4950160354449835,0.004814421734320181,-0.03600127128068256,-0.01389618169071491,2.4950117349806527,-0.036943297899025396
30,P2_053,0.17248483040560394,-1.293692492342293,0.2983067884395436,0.3566010920549301,0.06378818361417264,-0.3388252630665277,0.04664715048804721,-0.3656638527290277,0.08794225911883846,4.970757374039114,0.381977006394731
31,P2_056,-0.13587785514790804,-0.5164241387866534,0.31376194650602307,0.38368695067602837,-1.055642497894749,0.2595410359882771,0.043517742613506806,-0.0034495511673218763,0.03241837323524963,4.665857825136334,0.13517835920940474
