,User,Time.of.Day.Bern,Prior.Day.Total.Brush.Time.norm.Bern,Day.in.Study.norm.Bern,Proportion.Brushed.In.Past.7.Days.Bern,Day.Type.Bern,Intercept.Bern,Time.of.Day.Mu,Prior.Day.Total.Brush.Time.norm.Mu,Day.in.Study.norm.Mu,Proportion.Brushed.In.Past.7.Days.Mu,Day.Type.Mu,Intercept.Mu,Sigma_u
0,P2_012,-0.2791469187469195,-0.36358266707668585,1.1445778924398469,-0.38839808833023154,0.11651264177114894,-1.3796910850638378,0.4778947509818925,1.3249401705253783,-0.5486618230141139,1.9172037516313223,0.7671461142481404,9.048989546230672,1.2769623708368834
1,P2_013,2.548130617855185,-0.8631688212923437,0.11793868615699847,-0.6178488580280147,-0.10287067504416242,-1.0452860343458426,-1.1293299604426068,-0.5906444311352274,-0.9165268349990503,2.0471870023296446,0.2488532674085728,9.533919743547216,1.0478321167273232
2,P2_014,-0.6836272508065926,-0.35044953974643545,0.5187896785181729,-0.18397753490856564,0.26819926549920514,-1.479370690774728,1.7297190551097001,0.6847692954794758,-1.042958742651538,1.1644210386181157,0.6386369350562322,8.501406414997533,1.341010281541197
3,P2_017,0.5286333533995867,-0.6415670178723593,0.08211973827110207,-0.6967128335505226,-0.3078501336018336,-1.321382225057939,0.20670535869767342,0.29196553671251324,-0.8204188749217654,0.6537323011835732,0.07077184073047318,10.78488894320102,0.7023035944685186
4,P2_019,-0.24242745237536686,-0.033378153215499036,0.7078160764749051,0.5085159648390979,-0.7462616526256327,-0.0442241909870734,0.8168412665217429,-0.5207190925874355,-1.0542306162019475,1.8239966904417384,0.49777748633653857,7.180757237873771,2.459804045355298
5,P2_020,0.023096087486631,0.04208511101248286,-0.512229937951656,0.1643965549565599,-1.1170942237472419,-0.8279207007283637,0.7914420820505385,-0.05771538351295909,-1.8437837306228744,2.722781783186644,0.8349279976560767,10.74562086855414,1.1274545537231189
6,P2_021,0.6597310371489193,-0.633095461124213,0.4145857570091085,-0.25787804484721794,-0.11522343230162131,-0.3679513892035062,1.4254172661444844,-1.759922362547524,0.008938041296353649,2.8660276995460934,0.5327997880891253,6.731531822784513,1.9449720837648508
7,P2_022,0.7300885281507633,-0.39880901802281143,0.2462393386802788,0.2786547944081963,0.0695239677502554,-1.2801699469840229,0.3660487206985801,0.5553830227562362,-1.3564912958533084,2.851143096512975,0.044372182668435345,8.983885680065956,1.538004903207013
8,P2_024,0.5305164361066586,0.26431704049544563,0.5780457617366609,-0.4346797841177374,-0.04346864142696512,-1.18190677085811,0.7554214365364074,-0.21505301741496374,-1.7388284025155887,1.497242009175243,0.7939186684670421,9.70798262681702,1.1768388872970788
9,P2_025,0.08644968610573851,0.5220290766793664,0.39655985560217544,-0.1881618639367945,-0.799293088882681,-1.4892655539331858,-0.010376918649528602,0.2724753146501533,-0.7619795070613048,1.3670333818965927,0.8038502196952854,9.379064331966433,0.9200914133443853
10,P2_027,-0.42078304453476273,-0.8175085607478464,0.31674238796266624,-0.6165259968300724,0.06599258339108542,-1.5115954319051355,0.42126770651729,0.38279524228700834,-1.325278589135828,0.930244193372169,-0.13210287102519352,10.520797083622538,1.013960609753918
11,P2_028,0.12330939644713747,0.13155690154990218,0.9796136081691925,0.4065536172151116,0.33093019580806504,-1.0631087796847287,-1.066522430573567,-0.525863502187995,-2.359498429578319,1.181495635630188,-0.8806254281420707,9.763812389594642,-0.59016584792312
